iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
29,piece,piece,piece,[4.73929596 0.68190695 1.13827037],[4.14261249 0.60505147 1.10268243]
29,pea,pea,pea,[3.83096851 0.31204352 1.39968424],[3.79872313 0.32871946 1.43840173]
29,premo,pea,pea,[0.0363742  7.90738498 5.99685089 3.5557318  1.         1.34184728],[0.24841155 3.16852804 4.95072574 6.08675333 0.         1.40505635]
29,rem,rem,rem,[0.33662486 2.8711938  0.01606789 1.8958189 ],[0.31707532 2.4895818  0.00854948 1.85217446]
30,piece,piece,piece,[ 5.35854981  0.35256007 -0.6633937 ],[ 4.10844462  0.38677588 -0.73301435]
30,pea,pea,pea,[4.98784248 0.23460056 0.02633277],[10.          0.19853648  0.07735639]
30,premo,pea,pea,[0.76698196 2.22668833 8.0672387  0.70031288 1.         0.72614365],[0.04229285 3.6022388  4.98527518 5.55664646 0.16617719 0.77741279]
30,rem,rem,pea,[4.00563497 2.86331047 8.66467747 1.14762846],[2.87027303 2.25884409 6.00220322 1.07722206]
31,piece,piece,piece,[4.9929149  1.24520083 1.5907143 ],[4.94186935 2.24255888 1.63615682]
31,pea,pea,pea,[4.65226018 0.23687432 1.40618648],[3.18946417 0.30772795 1.31924961]
31,premo,premo,premo,[0.5159555  4.95470064 2.66522052 6.81802144 1.         0.21326856],[0.99987604 5.09094335 3.44428868 5.86265014 1.         0.22909648]
31,rem,pea,pea,[4.18364448 1.62893095 9.88404615 0.52621396],[3.8736194  1.183561   5.78648061 0.53703694]
32,piece,piece,piece,[ 4.75253555  1.28518155 -0.21396036],[ 4.01398653  0.75846056 -0.2379147 ]
32,pea,pea,pea,[3.17551782 0.42919439 1.65423101],[2.00367087 0.62364438 1.66210334]
32,premo,premo,premo,[0.54040126 2.67720325 2.97064595 5.56402155 1.         1.93189382],[ 0.46334843  0.27421318 10.          0.11824311  0.96597207  1.92441166]
32,rem,piece,piece,[6.72854419 0.26327825 7.47302455 0.16544227],[3.98673043 0.07681842 6.15265494 0.21822346]
33,piece,piece,piece,[6.09034481 1.31959855 0.7875161 ],[6.89254305 1.07865815 0.8135398 ]
33,pea,pea,pea,[ 9.84325561  0.32219074 -0.50064526],[10.          0.3015793  -0.50005025]
