iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
21,piece,piece,piece,[ 4.63975175  0.02690612 -0.25021805],[ 8.41346443  0.57926011 -0.21051035]
21,pea,pea,pea,[21.58660824  0.15362941  1.64949   ],[13.24211762  0.10125534  1.61172233]
21,premo,pea,pea,[ 0.1974682   1.12806009 21.28127353  1.49079164  1.         -0.3393236 ],[ 0.09640678  9.95234855 12.49874047 15.16673101  0.         -0.33643422]
21,rem,piece,piece,[22.76478462  0.1401846   9.54964562  1.25649124],[3.75255169 0.98647695 9.99956896 1.19638292]
22,piece,piece,piece,[4.81264694 1.3724412  0.45575366],[9.33551958 1.06731112 0.32820208]
22,pea,pea,pea,[12.61008283  0.21096302 -0.72416647],[13.39196783  0.19816822 -0.68449557]
22,premo,premo,premo,[ 0.46639333 19.00833852  1.70160504 16.54503813  1.         -0.14656981],[ 0.46181279  0.91119211  0.01        0.01        1.         -0.10650491]
22,rem,rem,rem,[ 2.82700859  3.6318703   4.23963517 -0.18742687],[ 2.62177377  5.06271322  4.57611278 -0.34282447]
23,piece,piece,piece,[ 4.49559303  0.8508032  -0.32812247],[ 5.98323257  0.64663709 -0.35508089]
23,pea,pea,pea,[11.64401995  0.32902114  1.49023447],[13.48456154  0.37265415  1.48951471]
23,premo,premo,premo,[ 0.86232692 21.06368072 21.17740272 16.03115233  1.          0.84352983],[ 0.69111396 12.57908675  9.98893125 15.15092028  1.          0.7925048 ]
23,rem,pea,pea,[ 4.91589609  1.15960585  2.97516314 -0.16928719],[ 4.93878576  2.54709537  8.11539843 -0.23905006]
24,piece,piece,piece,[ 4.95909743  1.1856604  -0.20678143],[ 7.07645133  1.05840853 -0.24141854]
24,pea,pea,pea,[9.54889203 0.31170394 2.03496606],[4.92653258 0.47284279 2.02283301]
24,premo,premo,premo,[ 0.28580255  1.12518485  8.10068805 21.11191281  1.          0.27470935],[0.99999965 0.09457237 0.06905096 0.16029204 1.         0.19965738]
24,rem,pea,pea,[9.37922743 1.38693673 0.98278869 1.61966239],[10.3865477   3.96595376  4.7209444   1.69453433]
25,piece,piece,piece,[4.96788528 1.03244125 0.42481669],[12.49890847  0.89976347  0.41251088]
25,pea,pea,pea,[2.90086533 0.19312535 1.18587211],[13.40214214  0.06039501  1.08256026]
25,premo,premo,premo,[ 0.64920291 12.29341908  5.81687923 22.06991874  1.          0.38717456],[ 0.67155034 21.25369913 12.50547146  3.53784986  1.          0.28876142]
25,rem,piece,piece,[21.31228652  0.37958865  7.76980038 -0.17728365],[ 2.31904438  2.13543061 10.         -0.08329019]
26,piece,piece,piece,[5.79300708 1.24036272 1.05673737],[4.55132497 1.56959079 1.10815909]
26,pea,pea,pea,[5.16209882 0.27832713 1.48750599],[3.60501883 0.40807372 1.51684079]
26,premo,premo,premo,[ 0.87339656  6.4611057   2.12254336 16.64977899  1.          1.21353762],[ 0.86311756 11.07391784 16.65681293  1.58164322  1.          1.21658885]
26,rem,rem,pea,[5.2127097  3.81900496 5.6124802  0.11576504],[4.82034081 4.06687102 5.87916994 0.21400844]
27,piece,piece,piece,[6.23364472 0.95552475 0.37134816],[5.21066805 1.0576672  0.42480125]
27,pea,pea,pea,[7.8102762  0.47193963 1.42206004],[6.18265421 0.54297654 1.38061253]
27,premo,piece,piece,[ 0.24590258  3.14919181 20.07026402  9.34014867  1.          1.48372942],[ 0.         10.2684478  12.47794402 14.87906252  0.91407912  1.48382105]
27,rem,pea,pea,[15.60055092  1.37701172  5.79266206 -0.65911217],[13.12906402  1.52825756  6.17050322 -0.58501129]
28,piece,piece,piece,[5.83966065 0.27643401 1.74494916],[8.07800621 0.01       1.74070948]
28,pea,pea,pea,[24.41561663  0.45303254  0.78130503],[25.          0.43540093  0.70041337]
28,premo,pea,pea,[ 0.51331649 15.89886409 11.05482486  2.1969309   1.          1.11023782],[ 0.08151066 11.95860288 12.60529521 13.00633696  1.          1.17450992]
28,rem,premo,pea,[11.9743102   1.48369169  8.75458762  1.91515055],[12.60725251  0.90771453  6.79050424  1.81045779]
29,piece,piece,piece,[5.11139313 0.88224899 0.3746893 ],[7.02011624 0.51991621 0.48058329]
